basin,name,alpha,1,damped_1,2,damped_2,3,damped_3,4,damped_4,5,damped_5,6,damped_6,7,damped_7
camels_11266500,Merced @ Pohono,0.930920095274036,0.944469690322876,0.9448012740634723,0.8644432425498962,0.8694266813122957,0.8034019470214844,0.8138889833274529,0.7521986961364746,0.7682192673269789,0.7020889520645142,0.7250000728902397,0.6522421836853027,0.683787201920287,0.6101671457290649,0.6492878828937722
camels_11284400,,0.6407786818320537,,,,,,,,,,,,,,
camels_11381500,Mill Ck (rain),0.7313908786488877,0.5406757593154907,0.5941695427367906,0.15734374523162842,0.3402770548658921,-0.05937695503234863,0.22797544737604347,-0.1995103359222412,0.16525836061535026,-0.23351800441741943,0.13874349938716635,-0.3789255619049072,0.09690909750472954,-0.5157593488693237,0.06933768386759243
camels_11451100,,0.7700097528236406,0.6352273225784302,0.6733203557242549,0.40304261445999146,0.5027315072356513,0.16962701082229614,0.36545657171332213,-0.02640092372894287,0.2755237491138305,-0.17390823364257812,0.22209061090669602,-0.2885594367980957,0.18917061697912474,-0.38903284072875977,0.16685087316370306
camels_11468500,,0.7361920227191461,0.6734693050384521,0.7053924243609803,0.3169257640838623,0.46640980484612626,0.06419765949249268,0.34521665482889297,-0.13040971755981445,0.27919969346653817,-0.23112940788269043,0.254765756333472,-0.32444918155670166,0.23763144503321387,-0.39262855052948,0.22850796327938938
camels_11473900,,0.76018014991979,0.6667705178260803,0.6988928521653224,0.3583402633666992,0.48092378606163566,0.1406189203262329,0.3607793585063095,-0.060224294662475586,0.2766452161075448,-0.1637873649597168,0.24095031449048776,-0.25987255573272705,0.21432575280803623,-0.3548598289489746,0.1944811957747139
camels_11475560,,0.812139190990676,0.613013505935669,0.6588312290196437,0.3644258975982666,0.4927820049638225,0.19922196865081787,0.4072868092915528,0.020159363746643066,0.3311843212591512,-0.08846783638000488,0.29739945405266366,-0.18228864669799805,0.27390847029547527,-0.26683902740478516,0.25700382696427493
camels_11476600,,0.8488800155787096,0.7234102487564087,0.7486526363918082,0.5050786733627319,0.5867386883304155,0.30244386196136475,0.4639927043924268,0.14762699604034424,0.3898682219605165,0.050756871700286865,0.35471892521875426,-0.031350016593933105,0.3297407079351655,-0.1003957986831665,0.3121548526691186
camels_11478500,,0.7315385503246795,0.6241931915283203,0.6669284147836634,0.2893902063369751,0.4452190805732661,0.10046815872192383,0.3487625416410657,-0.0893409252166748,0.27673182362629933,-0.20604395866394043,0.24253435407260793,-0.3122100830078125,0.21956157608099858,-0.41661858558654785,0.2040428432601552
camels_11480390,,0.7880682940547341,0.6611892580986023,0.6967429601175392,0.37726956605911255,0.4971230086683017,0.21311360597610474,0.40398794100532565,0.02778148651123047,0.31977021400338623,-0.08361124992370605,0.27855876181231587,-0.17646431922912598,0.24995611561306808,-0.28423166275024414,0.22454136624519483
camels_11481200,,0.6754154082720271,0.5084123015403748,0.5928289173436005,0.18560445308685303,0.4177332714844243,0.15419518947601318,0.39837084314425963,-6.139278411865234e-05,0.34505186627750273,-0.05249655246734619,0.3256699927691912,-0.12957680225372314,0.30893433745989995,-0.22796940803527832,0.29695751372425205
camels_11482500,,0.7964645584018902,0.763776957988739,0.7843005207447479,0.5042047500610352,0.5963889397640371,0.37688350677490234,0.5218409429183924,0.25024229288101196,0.4598453934212088,0.14942395687103271,0.4189506602276386,0.06653523445129395,0.3910139018096287,-0.005977749824523926,0.37105270252545974
camels_11522500,,0.8693363726970134,0.8025122880935669,0.8144552877356992,0.5879418253898621,0.6401040253077921,0.4531078338623047,0.5451846047206659,0.3498417139053345,0.4795595605480769,0.2729206681251526,0.4336522361906858,0.19237565994262695,0.3899003141997762,0.13581979274749756,0.359973557456989
camels_11523200,,0.8503230748700094,0.6997075080871582,0.7275186033305889,0.48984581232070923,0.5724945233115855,0.3876378536224365,0.5101856034574999,0.29767149686813354,0.45898990919640703,0.23848950862884521,0.42600112581069893,0.1592036485671997,0.3868726693972847,0.08421432971954346,0.3540905617868262
