basin,name,NSE_ts0,KGE_ts0,NSE_ts1,KGE_ts1,NSE_ts2,KGE_ts2,NSE_ts3,KGE_ts3,NSE_ts4,KGE_ts4,NSE_ts5,KGE_ts5,NSE_ts6,KGE_ts6,NSE_ts7,KGE_ts7
camels_11468500,,0.7736630439758301,0.8612772403642557,0.6675515174865723,0.8029045423476123,0.6958354711532593,0.7878422358509738,0.6568582653999329,0.7946803561456264,0.6158719658851624,0.7928543317024244,0.6371107697486877,0.8051710965903824,0.4776284098625183,0.7396268706157705,0.3882652521133423,0.6993100069435216
camels_11473900,,0.7287805080413818,0.7683614258109135,0.6632524728775024,0.7386670892808684,0.6717575788497925,0.702421720208859,0.663384199142456,0.7108611903522031,0.6643297076225281,0.6985553403443489,0.6602615118026733,0.7239775904288901,0.6299206018447876,0.7240674906455093,0.5542707443237305,0.7193553870243242
camels_11475560,,0.7283935546875,0.846719546548578,0.6508675217628479,0.812830262175088,0.6543484330177307,0.7994939656785167,0.6254048347473145,0.7997684139456356,0.6458410620689392,0.8032911528730945,0.6432220935821533,0.813931876072459,0.5456448197364807,0.7683192617529933,0.4420141577720642,0.731562525579345
camels_11476600,,0.7683460712432861,0.7844904292892093,0.6861120462417603,0.7490202462365844,0.6883092522621155,0.7535976800403495,0.6623131036758423,0.7612724263053813,0.7077856063842773,0.7691870770012822,0.6383845806121826,0.7496420770061225,0.5419011116027832,0.7381046094161016,0.491394579410553,0.7404949089340217
camels_11478500,,0.7586885690689087,0.73491344610338,0.653572678565979,0.6873192118027471,0.6378609538078308,0.6550979520592807,0.6055352687835693,0.6749585604493843,0.641560435295105,0.671409505696084,0.6218518018722534,0.6753704765871467,0.5679692029953003,0.6883531175248505,0.5031024217605591,0.6963573544856622
camels_11480390,,0.7712443470954895,0.752107172463936,0.6674175262451172,0.6978932148620483,0.6509988903999329,0.6779065216234368,0.6340783834457397,0.7129726007934785,0.6525033712387085,0.7188007612472029,0.6597769260406494,0.7524095965776149,0.6104681491851807,0.7489186071696011,0.5902535915374756,0.7543143901790915
camels_11481200,,0.740408718585968,0.8456412330853341,0.6283949613571167,0.7616348336197232,0.6134934425354004,0.7444172090062059,0.5486064553260803,0.7425655043921545,0.5585634708404541,0.7423175359427432,0.5172874927520752,0.7297095059658973,0.44526922702789307,0.7058108127959255,0.3425605297088623,0.6754247717794036
camels_11482500,,0.8649231195449829,0.8475149699722695,0.7987066507339478,0.7999768881442669,0.7770364880561829,0.7660785852097505,0.7619330286979675,0.7795251997730914,0.7623903155326843,0.7611093574742,0.7557108998298645,0.7565869988978435,0.7031041383743286,0.7413433629695945,0.625510573387146,0.7569007270445882
camels_11522500,,0.8117485642433167,0.8747334342345698,0.7741392850875854,0.8556904237427132,0.7656022906303406,0.8208687622793034,0.7481971979141235,0.8192370814070086,0.7436786890029907,0.7866883110974965,0.726057767868042,0.7740234272791173,0.7133350372314453,0.758679642572308,0.6252487897872925,0.7542730673481464
camels_11523200,,0.7499185800552368,0.8443332949950009,0.7274354100227356,0.838784302730222,0.7244830131530762,0.842994911086119,0.7063174247741699,0.8369402249700274,0.7278033494949341,0.8445952988292706,0.702751874923706,0.8316162379285457,0.6990687251091003,0.8279175276620034,0.6231682896614075,0.7957051020147167
