# LSTM vs gauge persistence by storm-size bin and lead, WY2017+WY2023, 22-basin cohort.
# VALID-DATE SCORING: a forecast issued at d for lead k is scored at valid_date v = d + k; obs, precipitation percentile, storm class and the water-year mask are all taken at v.
# Matched-lead baselines (METHODS 4.2 / make_baselines.py): persistence = obs at v-k = obs on the issue date; damped = clim(v) + alpha**k * (obs(d) - clim(d)), clipped at 0, with the 31-day smoothed training day-of-year climatology and alpha the training lag-1 anomaly autocorrelation.
# Rows require obs, LSTM, plain and damped all finite, so the three models are scored on identical days.
# mae_skill_vs_X = 1 - mae_lstm/mae_X (positive = LSTM better); winrate_vs_X = fraction of basin-days with |err_lstm| < |err_X|; rel_bias = mean(sim-obs)/mean(obs).
# pooled_nse_* are FOOTNOTE columns only: within-bin NSE is computed on a precipitation-truncated variance and is not a skill measure.
# Leads 1-7 only; time_step 0 is a nowcast with no exact persistence analogue (METHODS 4.2). storm_bin "ALL" pools every bin.
# The standing asymmetry: the LSTM never ingests observed discharge; persistence uses the gauge, which a real operator also has.
storm_bin,lead,n_basin_days,mean_obs,valid_date_first,valid_date_last,mae_lstm,rel_bias_lstm,pooled_nse_lstm,mae_persistence,rel_bias_persistence,pooled_nse_persistence,mae_damped,rel_bias_damped,pooled_nse_damped,mae_skill_vs_persistence,winrate_vs_persistence,mae_skill_vs_damped,winrate_vs_damped
P80-P95,4,931,9.917524,2016-10-14,2023-09-30,4.294882297515869,-0.29066377878189087,0.5664098262786865,5.633450031280518,-0.46249812841415405,0.24782800674438477,6.240752269663124,-0.5898354859093443,0.10894749920830382,0.23761065179100982,0.5628356605800214,0.31180054712415195,0.6240601503759399
P80-P95,5,931,9.917524,2016-10-14,2023-09-30,4.3867950439453125,-0.2848738133907318,0.5400394201278687,6.128621578216553,-0.49062275886535645,0.13359850645065308,6.547411581355812,-0.6126012575672848,0.049242449343212424,0.2842117941271416,0.5810955961331902,0.32999552732609605,0.640171858216971
P80-P95,6,931,9.917524,2016-10-14,2023-09-30,4.048731327056885,-0.27746033668518066,0.6110668182373047,6.758656978607178,-0.5292841196060181,-0.017412304878234863,6.758722743386876,-0.6345466918586861,-0.012682761121499242,0.4009562343713964,0.644468313641246,0.4009620632806107,0.6519871106337272
P80-P95,7,931,9.917524,2016-10-14,2023-09-30,4.748965740203857,-0.23098722100257874,0.43322086334228516,7.3573431968688965,-0.4841803014278412,-0.2227950096130371,6.861850435015956,-0.6364764961430543,-0.030947557793890468,0.35452708768229,0.6272824919441461,0.30791762583895277,0.6455424274973147
>P95,1,413,17.133614,2016-10-14,2023-03-29,10.936580657958984,-0.6092705130577087,0.17603379487991333,10.117466926574707,-0.5277185440063477,0.25147706270217896,10.708377982194262,-0.5871270477465348,0.1728206652251949,-0.08096035671070778,0.3922518159806295,-0.021310666857686122,0.4067796610169492
>P95,2,413,17.133614,2016-10-14,2023-03-29,10.9959077835083,-0.6178259253501892,0.16063684225082397,11.745280265808105,-0.5922564268112183,0.04375314712524414,12.451266187977637,-0.6750538004766804,-0.04346896712939308,0.0638020094319347,0.5230024213075061,0.1168843700309421,0.5157384987893463
>P95,3,413,17.133614,2016-10-14,2023-03-29,11.042174339294434,-0.6138100028038025,0.1542677879333496,12.487373352050781,-0.6698473691940308,-0.07641410827636719,13.216538601309988,-0.7476957019878695,-0.1837122367719779,0.1157328264329508,0.5690072639225182,0.16451843615090245,0.5714285714285714
>P95,4,413,17.133614,2016-10-14,2023-03-29,10.68325424194336,-0.6060590147972107,0.18660509586334229,12.563138008117676,-0.7182314395904541,-0.08586347103118896,13.591310109041633,-0.7858117296104842,-0.24249443460111952,0.14963488938509062,0.5835351089588378,0.21396435249929924,0.6004842615012107
>P95,5,413,17.133614,2016-10-14,2023-03-29,10.388518333435059,-0.5865657329559326,0.21497958898544312,12.757220268249512,-0.6776722073554993,-0.19413387775421143,13.605064692464937,-0.7865250207764298,-0.26351772499249715,0.18567539675627753,0.6029055690072639,0.23642271696152528,0.5980629539951574
>P95,6,413,17.133614,2016-10-14,2023-03-29,10.651634216308594,-0.5808782577514648,0.21821242570877075,13.759933471679688,-0.7069463729858398,-0.304301381111145,13.874052992667696,-0.7990882029322942,-0.30465947205427324,0.22589493341435907,0.6295399515738499,0.23226225084062457,0.5883777239709443
>P95,7,413,17.133614,2016-10-14,2023-03-29,10.806699752807617,-0.5811115503311157,0.17231875658035278,15.134357452392578,-0.747264564037323,-0.4757230281829834,14.165655555104783,-0.810849212297581,-0.34231297744742784,0.2859492193968767,0.6973365617433414,0.2371196863590772,0.6222760290556901
ALL,1,15863,4.1534996,2016-10-02,2023-09-30,1.4147096872329712,-0.10505504161119461,0.6735592484474182,1.123506784439087,-8.444968989351764e-05,0.6729636192321777,1.057780178327782,-0.08631995245075391,0.7153117345601845,-0.25919104969114004,0.20387064237533883,-0.337432593480292,0.2659648238038202
ALL,2,15819,4.164706,2016-10-03,2023-09-30,1.4139987230300903,-0.11427440494298935,0.6713285446166992,1.7088655233383179,-0.0001565270940773189,0.41896551847457886,1.5844904347010473,-0.15367072824958636,0.5427796769900529,0.17255120211694408,0.31531702383210064,0.10760034136976304,0.39395663442695494
ALL,3,15775,4.1759458,2016-10-04,2023-09-30,1.4562244415283203,-0.10496586561203003,0.6519798040390015,2.0654714107513428,-0.00023009530559647828,0.2733957767486572,1.8601524370316953,-0.20683248874142587,0.45809540741408983,0.2949675149468183,0.38719492868462757,0.21714779254754835,0.46700475435816163
ALL,4,15731,4.187262,2016-10-05,2023-09-30,1.467923879623413,-0.10286365449428558,0.6625193357467651,2.326474666595459,-0.0003216275363229215,0.15668940544128418,2.0402047259069573,-0.249257302418713,0.3982093113166537,0.3690350895711412,0.42660987858368826,0.2805016766291144,0.49856970313393933
ALL,5,15687,4.1986365,2016-10-06,2023-09-30,1.5148719549179077,-0.0961931124329567,0.6488535404205322,2.5113699436187744,-0.00044775629066862166,0.07462704181671143,2.160328804823262,-0.28345618473884826,0.362676188986631,0.3967945826670828,0.47185567667495376,0.2987771345103921,0.5251482118951999
ALL,6,15643,4.210072,2016-10-07,2023-09-30,1.5713083744049072,-0.09241965413093567,0.6061571836471558,2.71266770362854,-0.000543086847756058,-0.01964724063873291,2.2442730888975047,-0.3112685822174276,0.3326107193734549,0.42075161941026495,0.4999041104647446,0.2998586570510411,0.5351914594387266
ALL,7,15599,4.2216005,2016-10-08,2023-09-30,1.6602674722671509,-0.08544272184371948,0.5457701683044434,2.9062068462371826,-0.0006328298477455974,-0.0890653133392334,2.3110939439849485,-0.33410118080404927,0.31062096852128496,0.42871668807167473,0.5288800564138727,0.2816096997751625,0.5433681646259375
