model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
deterministic,camels_11237500,Pitman Ck,0,1.496573849818478,,,,730
CMAL,camels_11237500,Pitman Ck,1,1.1184191594928257,0.5205479452054794,0.5006849315068495,1.8996964727228962,730
deterministic,camels_11237500,Pitman Ck,1,1.4564385320225808,,,,730
CMAL,camels_11237500,Pitman Ck,2,1.1282108491841754,0.4958904109589041,0.4952054794520548,2.9299134135416445,730
deterministic,camels_11237500,Pitman Ck,2,1.4987982030600717,,,,730
CMAL,camels_11237500,Pitman Ck,3,1.1623205973507797,0.4917808219178082,0.5075342465753425,2.5732171105980686,730
deterministic,camels_11237500,Pitman Ck,3,1.5601702864039435,,,,730
CMAL,camels_11237500,Pitman Ck,4,1.2415230641524482,0.4671232876712329,0.5184931506849315,3.0675363386383396,730
deterministic,camels_11237500,Pitman Ck,4,1.62855866869835,,,,730
CMAL,camels_11237500,Pitman Ck,5,1.3332975676656584,0.4410958904109589,0.5438356164383562,1.9672408647206139,730
deterministic,camels_11237500,Pitman Ck,5,1.7107181536008234,,,,730
CMAL,camels_11237500,Pitman Ck,6,1.3672622447476686,0.4178082191780822,0.5547945205479452,2.1152270215231472,730
deterministic,camels_11237500,Pitman Ck,6,1.7551197657846425,,,,730
CMAL,camels_11237500,Pitman Ck,7,1.4385625966037854,0.40684931506849314,0.567123287671233,2.868059805174895,730
deterministic,camels_11237500,Pitman Ck,7,1.8300515043408903,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,0,0.927693855484526,0.7054794520547946,0.3945205479452055,0.7796808551731772,730
deterministic,camels_11264500,Merced @ Happy Isles,0,1.2042381182925341,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,1,0.8967645528032803,0.7041095890410959,0.3821917808219178,3.1241171080383197,730
deterministic,camels_11264500,Merced @ Happy Isles,1,1.2338330471352355,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,2,0.8877354962016653,0.7123287671232876,0.3842465753424658,2.556074620457286,730
deterministic,camels_11264500,Merced @ Happy Isles,2,1.2382960947409067,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,3,0.8897065004016456,0.7054794520547946,0.3849315068493151,2.188871235876778,730
deterministic,camels_11264500,Merced @ Happy Isles,3,1.2410521828964964,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,4,0.9149554050101737,0.7027397260273973,0.40273972602739727,2.2837647110280295,730
deterministic,camels_11264500,Merced @ Happy Isles,4,1.2360562927918892,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,5,0.9259178114528857,0.6986301369863014,0.4164383561643835,2.2891408312678974,730
deterministic,camels_11264500,Merced @ Happy Isles,5,1.2687833891339497,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,6,0.9284580039717153,0.6904109589041096,0.41780821917808225,1.408269339550203,730
deterministic,camels_11264500,Merced @ Happy Isles,6,1.2731087328636483,,,,730
CMAL,camels_11264500,Merced @ Happy Isles,7,0.945735453949258,0.6684931506849315,0.4246575342465754,3.1665435452300943,730
deterministic,camels_11264500,Merced @ Happy Isles,7,1.3005791669839049,,,,730
CMAL,camels_11266500,Merced @ Pohono,0,1.0706914449948748,0.6219178082191781,0.476027397260274,0.5020395271846337,730
deterministic,camels_11266500,Merced @ Pohono,0,1.332166608065775,,,,730
CMAL,camels_11266500,Merced @ Pohono,1,1.0504196360204832,0.6287671232876713,0.4910958904109589,3.7340157831734673,730
deterministic,camels_11266500,Merced @ Pohono,1,1.4000341786097175,,,,730
CMAL,camels_11266500,Merced @ Pohono,2,1.0457163066381225,0.6219178082191781,0.5013698630136987,2.4148196298876865,730
deterministic,camels_11266500,Merced @ Pohono,2,1.4171806749415725,,,,730
CMAL,camels_11266500,Merced @ Pohono,3,1.0561168051538847,0.6178082191780822,0.5123287671232877,1.8767063544118014,730
deterministic,camels_11266500,Merced @ Pohono,3,1.4267866777230616,,,,730
CMAL,camels_11266500,Merced @ Pohono,4,1.0960629883723843,0.5917808219178082,0.5301369863013699,2.3840437270529993,730
deterministic,camels_11266500,Merced @ Pohono,4,1.4248377438277415,,,,730
CMAL,camels_11266500,Merced @ Pohono,5,1.1201941248879337,0.5863013698630137,0.5294520547945205,1.1773662852273705,730
deterministic,camels_11266500,Merced @ Pohono,5,1.4576188324248953,,,,730
CMAL,camels_11266500,Merced @ Pohono,6,1.122680410124903,0.589041095890411,0.5321917808219179,2.4850193701926844,730
deterministic,camels_11266500,Merced @ Pohono,6,1.4716341042355314,,,,730
CMAL,camels_11266500,Merced @ Pohono,7,1.1460715629104745,0.5616438356164384,0.5315068493150685,2.9643878264879584,730
deterministic,camels_11266500,Merced @ Pohono,7,1.4970921309843455,,,,730
CMAL,camels_11381500,Mill Ck (rain),0,0.6824715916705467,0.8054794520547945,0.24520547945205481,2.0361844244195804,730
deterministic,camels_11381500,Mill Ck (rain),0,0.9214456772151058,,,,730
CMAL,camels_11381500,Mill Ck (rain),1,0.787705439084383,0.7863013698630137,0.21575342465753428,2.7756893334871764,730
deterministic,camels_11381500,Mill Ck (rain),1,1.0530652572847392,,,,730
CMAL,camels_11381500,Mill Ck (rain),2,0.800923747659617,0.7821917808219178,0.2191780821917808,2.17031203880372,730
deterministic,camels_11381500,Mill Ck (rain),2,1.043145363788082,,,,730
CMAL,camels_11381500,Mill Ck (rain),3,0.8022332743437756,0.7808219178082192,0.22602739726027396,1.9535409800019834,730
deterministic,camels_11381500,Mill Ck (rain),3,1.0432165581069581,,,,730
CMAL,camels_11381500,Mill Ck (rain),4,0.7915248043499251,0.7945205479452054,0.25068493150684934,3.1344229804413932,730
deterministic,camels_11381500,Mill Ck (rain),4,1.0094409789941081,,,,730
CMAL,camels_11381500,Mill Ck (rain),5,0.8212053014733346,0.7671232876712328,0.23219178082191785,3.0059855883797066,730
deterministic,camels_11381500,Mill Ck (rain),5,1.0349177113134567,,,,730
CMAL,camels_11381500,Mill Ck (rain),6,0.8618700333422102,0.7712328767123288,0.2438356164383562,0.41296175247393163,730
deterministic,camels_11381500,Mill Ck (rain),6,1.0823357155061748,,,,730
CMAL,camels_11381500,Mill Ck (rain),7,0.9273818445832464,0.7547945205479452,0.2547945205479452,3.7137309933429132,730
deterministic,camels_11381500,Mill Ck (rain),7,1.1324334419753455,,,,730
CMAL,camels_11451100,,0,0.9929380770472046,0.6325823223570191,0.4236568457538995,3.371975777022989,577
deterministic,camels_11451100,,0,1.518973614045611,,,,577
CMAL,camels_11451100,,1,1.3289989109119291,0.5805892547660312,0.43578856152512996,3.6117361837310553,577
deterministic,camels_11451100,,1,1.8416032684737722,,,,577
CMAL,camels_11451100,,2,1.317791511031934,0.5684575389948007,0.43752166377816293,3.5459931643911786,577
deterministic,camels_11451100,,2,1.8383809698929614,,,,577
CMAL,camels_11451100,,3,1.349646652957247,0.5563258232235702,0.4583188908145581,2.908822885564109,577
deterministic,camels_11451100,,3,1.954405806196831,,,,577
CMAL,camels_11451100,,4,1.4242725383881898,0.5285961871750433,0.47218370883882144,2.1107025065203033,577
deterministic,camels_11451100,,4,2.0814510787380422,,,,577
