basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_11381500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7774725274725275,0.7908473121701235
camels_11381500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7768595041322314,0.8047800646869224
camels_11381500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7900552486187845,0.8095742256810091
camels_11381500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7853185595567868,0.798502521732171
camels_11381500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.7694444444444445,0.8342247103308283
camels_11381500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.7674094707520891,0.8753156177542133
camels_11381500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.75,0.9462703574791709
camels_11451100,raw,0,577,2016-10-01,2023-04-30,2016-10-01,2023-04-30,0.6169844020797227,0.9962083637949094
camels_11451100,raw,1,575,2016-10-01,2023-04-29,2016-10-02,2023-04-30,0.5791304347826087,1.3336945549733925
camels_11451100,raw,2,573,2016-10-01,2023-04-28,2016-10-03,2023-04-30,0.5602094240837696,1.3337963869957141
camels_11451100,raw,3,571,2016-10-01,2023-04-27,2016-10-04,2023-04-30,0.5691768826619965,1.3687543521125163
camels_11451100,raw,4,569,2016-10-01,2023-04-26,2016-10-05,2023-04-30,0.5272407732864675,1.4382566109116142
camels_11451100,raw,5,567,2016-10-01,2023-04-25,2016-10-06,2023-04-30,0.5079365079365079,1.498148564682279
camels_11451100,raw,6,565,2016-10-01,2023-04-24,2016-10-07,2023-04-30,0.5097345132743363,1.5642769997725203
camels_11451100,raw,7,563,2016-10-01,2023-04-23,2016-10-08,2023-04-30,0.4866785079928952,1.5703338577207187
camels_11468500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.6726027397260274,0.46389438337287037
camels_11468500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6373626373626373,0.6162419215728736
camels_11468500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.6308539944903582,0.6299957389985712
camels_11468500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.638121546961326,0.6396316671915008
camels_11468500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.628808864265928,0.6711655682504727
camels_11468500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6152777777777778,0.706366541261021
camels_11468500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.5974930362116991,0.7899541843762318
camels_11468500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.5670391061452514,0.8199798818457378
camels_11473900,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.6506849315068494,0.7202319265624965
camels_11473900,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6291208791208791,0.8620043620440787
camels_11473900,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.6060606060606061,0.867714806367615
camels_11473900,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.6284530386740331,0.8792065761503529
camels_11473900,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.6218836565096952,0.895475368410482
camels_11473900,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6041666666666666,0.9089460554925782
